log_age	Z	fraccion_M_star
5.00	0.004	0.9997487465030445
5.48	0.004	0.9995955483454583
5.70	0.004	0.9994477298492142
5.85	0.004	0.9993078254437727
6.00	0.004	0.9990935763512973
6.10	0.004	0.9988333204808698
6.18	0.004	0.9986310012404445
6.24	0.004	0.9984054213893815
6.30	0.004	0.9979957867909907
6.35	0.004	0.9976092892555832
6.40	0.004	0.9964247004323192
6.44	0.004	0.9941194592986262
6.48	0.004	0.9923187234365227
6.51	0.004	0.9899057552058677
6.54	0.004	0.9832740498504345
6.57	0.004	0.9760765133553254
6.60	0.004	0.9650840380687746
6.63	0.004	0.9561960391390197
6.65	0.004	0.951847721673063
6.68	0.004	0.9452045514605288
6.70	0.004	0.9406228946382591
6.72	0.004	0.936137439719356
6.74	0.004	0.9299606592168567
6.76	0.004	0.9253344862264032
6.78	0.004	0.9222071956136046
6.81	0.004	0.9143492529427593
6.85	0.004	0.9068577381739062
6.86	0.004	0.9058277243300943
6.88	0.004	0.9016964649624226
6.89	0.004	0.8996218026038157
6.90	0.004	0.8985818202864373
6.92	0.004	0.8944011825675501
6.93	0.004	0.892295606946724
6.94	0.004	0.890178820210561
6.95	0.004	0.8880488534900746
6.97	0.004	0.8837477024248391
6.98	0.004	0.8815727415774909
6.99	0.004	0.8782786203034687
7.00	0.004	0.8760589524629251
7.04	0.004	0.8673352947582434
7.08	0.004	0.8609837546693263
7.11	0.004	0.8552913272763243
7.15	0.004	0.8476970725281826
7.18	0.004	0.8413335771783271
7.20	0.004	0.8380145729741827
7.23	0.004	0.8329963130710698
7.26	0.004	0.8280433651374519
7.28	0.004	0.8243611241693034
7.30	0.004	0.8206994638230117
7.34	0.004	0.8135812454696545
7.38	0.004	0.8078797707092531
7.41	0.004	0.8033755603644338
7.45	0.004	0.7968974612929889
7.48	0.004	0.7918147017491114
7.51	0.004	0.7863030109296049
7.53	0.004	0.782582787943359
7.56	0.004	0.7774944836395179
7.58	0.004	0.7746255872969381
7.60	0.004	0.7716384972521725
7.62	0.004	0.7685357059299843
7.64	0.004	0.7653206204102738
7.66	0.004	0.7621514408402745
7.68	0.004	0.7587129444601255
7.70	0.004	0.7553203496473104
7.74	0.004	0.7478974876335356
7.78	0.004	0.7414195815448141
7.81	0.004	0.7367044589721468
7.85	0.004	0.7300958585516759
7.87	0.004	0.7266577404948794
7.90	0.004	0.7217422667575405
7.93	0.004	0.717667165129424
7.95	0.004	0.7145064319327072
7.98	0.004	0.7095612686866246
8.00	0.004	0.70617030377896
8.30	0.004	0.6576258631741768
8.48	0.004	0.6304162108347905
8.60	0.004	0.6093934395593791
8.70	0.004	0.5942882906642876
8.78	0.004	0.5809118483579743
8.85	0.004	0.570174586304843
8.90	0.004	0.5622625887276553
8.95	0.004	0.5538986814516134
9.00	0.004	0.5450537319591894
9.18	0.004	0.49331263138777365
9.30	0.004	0.4714313601327432
9.40	0.004	0.45510286181853454
9.48	0.004	0.4414301809636725
9.54	0.004	0.43950856635686847
9.60	0.004	0.43064146691220917
9.65	0.004	0.4230151870514602
9.70	0.004	0.41577132141379647
9.74	0.004	0.4098026857525866
9.78	0.004	0.40362943445314
9.81	0.004	0.3991391041648557
9.85	0.004	0.39304236870532333
9.90	0.004	0.3851485918507544
9.95	0.004	0.37730113887646016
10.00	0.004	0.36986237334862226
10.04	0.004	0.3637452841250016
10.08	0.004	0.3574938339675988
10.11	0.004	0.3528407593463488
10.12	0.004	0.3513974524968319
10.13	0.004	0.3499470045478874
10.14	0.004	0.3484882228305641
10.15	0.004	0.34702276114369585
10.18	0.004	0.3425709234887182
5.00	0.008	0.9997128622563369
5.48	0.008	0.9994860923983607
5.70	0.008	0.9992338070436809
5.85	0.008	0.9989751709011483
6.00	0.008	0.9985741216584746
6.10	0.008	0.9981230108338245
6.18	0.008	0.9977816522544524
6.24	0.008	0.9973908958346522
6.30	0.008	0.9964997973855905
6.35	0.008	0.9956808119411404
6.40	0.008	0.9938105836317674
6.44	0.008	0.9913125045298768
6.48	0.008	0.9892473842126166
6.51	0.008	0.9867916313557944
6.54	0.008	0.979228659904204
6.57	0.008	0.9721965381125605
6.60	0.008	0.9621603779371706
6.63	0.008	0.9537993486761329
6.65	0.008	0.9489639326805906
6.68	0.008	0.9411864820108642
6.70	0.008	0.936135847901879
6.72	0.008	0.9317462371589326
6.74	0.008	0.9262870978505664
6.76	0.008	0.921504258325822
6.78	0.008	0.9181969161973518
6.81	0.008	0.9112366663567515
