log_age	Z	fraccion_M_star
5.00	0.004	0.999265331082168
5.48	0.004	0.9992477623909846
5.70	0.004	0.9992307896119665
5.85	0.004	0.9992148172924192
6.00	0.004	0.99919047369232
6.10	0.004	0.9991614784837458
6.18	0.004	0.9991387824241975
6.24	0.004	0.9991133039056099
6.30	0.004	0.9990674555203873
6.35	0.004	0.9990258154651002
6.40	0.004	0.998909721331897
6.44	0.004	0.9986912585632017
6.48	0.004	0.9985159422830724
6.51	0.004	0.9982809725366854
6.54	0.004	0.9976443411468663
6.57	0.004	0.9969334817036541
6.60	0.004	0.9957601491946731
6.63	0.004	0.9947197901514838
6.65	0.004	0.994171992252164
6.68	0.004	0.9932973615858984
6.70	0.004	0.992666367009441
6.72	0.004	0.9920277260057374
6.74	0.004	0.9911089380894452
6.76	0.004	0.9903871691877558
6.78	0.004	0.989884753459025
6.81	0.004	0.9885701085972539
6.85	0.004	0.9872433808254675
6.86	0.004	0.9870549100008994
6.88	0.004	0.9862854208967229
6.89	0.004	0.9858907178638053
6.90	0.004	0.9856909037159557
6.92	0.004	0.9848722353570176
6.93	0.004	0.9844512485001006
6.94	0.004	0.984021932788424
6.95	0.004	0.9835840626213336
6.97	0.004	0.9826806995426869
6.98	0.004	0.9822143304084537
6.99	0.004	0.9814951838142931
7.00	0.004	0.9810020118040476
7.04	0.004	0.9789962922873836
7.08	0.004	0.9774666207104861
7.11	0.004	0.9760450951516642
7.15	0.004	0.9740726958049722
7.18	0.004	0.9723518661675874
7.20	0.004	0.9714293121547606
7.23	0.004	0.9700016166925516
7.26	0.004	0.9685530834167532
7.28	0.004	0.9674505399370553
7.30	0.004	0.9663322995931413
7.34	0.004	0.9640947453686836
7.38	0.004	0.962241588459314
7.41	0.004	0.9607387759585644
7.45	0.004	0.958515860106619
7.48	0.004	0.9567206991731135
7.51	0.004	0.9547228057739673
7.53	0.004	0.9533436256736159
7.56	0.004	0.9514170175362436
7.58	0.004	0.9503102004034983
7.60	0.004	0.9491414667884863
7.62	0.004	0.9479105550833224
7.64	0.004	0.9466160058801218
7.66	0.004	0.945321388239791
7.68	0.004	0.9438960616897103
7.70	0.004	0.9424664293819931
7.74	0.004	0.9392635924811079
7.78	0.004	0.9363819795455826
7.81	0.004	0.9342336662806477
7.85	0.004	0.9311498146244997
7.87	0.004	0.9295111574030209
7.90	0.004	0.9271264400385191
7.93	0.004	0.9255569441893814
7.95	0.004	0.9239701125477214
7.98	0.004	0.921447008137606
8.00	0.004	0.9196796886727265
8.30	0.004	0.8918287723213322
8.48	0.004	0.8739774124425136
8.60	0.004	0.8590617610733308
8.70	0.004	0.8477192572339504
8.78	0.004	0.8372403877090636
8.85	0.004	0.828532426620801
8.90	0.004	0.8219422251294632
8.95	0.004	0.8148189947651601
9.00	0.004	0.8071176299880358
9.18	0.004	0.7557092037624491
9.30	0.004	0.7336987017828168
9.40	0.004	0.7165876143998376
9.48	0.004	0.701811188426295
9.54	0.004	0.7014738453666846
9.60	0.004	0.6914946610806562
9.65	0.004	0.6827890747359111
9.70	0.004	0.6744086958082117
9.74	0.004	0.6674242268574831
9.78	0.004	0.6601347231162996
9.81	0.004	0.6547840345847483
9.85	0.004	0.6474628298158016
9.90	0.004	0.6378876019399244
9.95	0.004	0.6282308495857301
10.00	0.004	0.6188897174455558
10.04	0.004	0.611079665141259
10.08	0.004	0.602969846227543
10.11	0.004	0.5968438878057282
10.12	0.004	0.5949311742288632
10.13	0.004	0.5929991307805234
10.14	0.004	0.5910493077960859
10.15	0.004	0.5890847396998505
