log_age	Z	fraccion_M_star
5.0	0.004	0.9989074224964221
5.48	0.004	0.9988696011252663
5.7	0.004	0.998833084860604
5.85	0.004	0.9987986553159971
6.0	0.004	0.9987460887481928
6.1	0.004	0.9986829915978925
6.18	0.004	0.9986337109987979
6.24	0.004	0.998578539924657
6.3	0.004	0.998478984332754
6.35	0.004	0.9983873227636907
6.4	0.004	0.9981222257762257
6.44	0.004	0.9976162452786045
6.48	0.004	0.9972139338599593
6.51	0.004	0.9966745570262493
6.54	0.004	0.9952053842540487
6.57	0.004	0.9935824166036805
6.6	0.004	0.9909783322601594
6.63	0.004	0.9887468125871578
6.65	0.004	0.9876037625314668
6.68	0.004	0.9858084797949423
6.7	0.004	0.984534752552586
6.72	0.004	0.98326130944901
6.74	0.004	0.9814584538238197
6.76	0.004	0.9800679366712828
6.78	0.004	0.9791091209632167
6.81	0.004	0.9766411489383829
6.85	0.004	0.9742003045163525
6.86	0.004	0.9738579576192132
6.88	0.004	0.9724683923166427
6.89	0.004	0.9717612561522174
6.9	0.004	0.9714044943894488
6.92	0.004	0.96995310098531
6.93	0.004	0.969212572696664
6.94	0.004	0.9684612682595202
6.95	0.004	0.9676986164481574
6.97	0.004	0.9661376372213613
6.98	0.004	0.9653378485791377
6.99	0.004	0.9641125260662768
7.0	0.004	0.9632776447660981
7.04	0.004	0.9599242690286727
7.08	0.004	0.957409334731721
7.11	0.004	0.9551027864112186
7.15	0.004	0.9519474300919424
7.18	0.004	0.9492339288578822
7.2	0.004	0.9477933312814018
7.23	0.004	0.9455826656301465
7.26	0.004	0.943361553292017
7.28	0.004	0.9416851383157349
7.3	0.004	0.9399969283603525
7.34	0.004	0.9366535856385888
7.38	0.004	0.9339166787693929
7.41	0.004	0.9317174610466051
7.45	0.004	0.9284967072155584
7.48	0.004	0.9259219503714254
7.51	0.004	0.9230820202928404
7.53	0.004	0.9211370239577695
7.56	0.004	0.918439685883953
7.58	0.004	0.916899969232652
7.6	0.004	0.9152822795298543
7.62	0.004	0.9135863627489673
7.64	0.004	0.9118119954544097
7.66	0.004	0.9100463449990186
7.68	0.004	0.9081113154211777
7.7	0.004	0.9061823915621214
7.74	0.004	0.9018951592676718
7.78	0.004	0.8980769751493956
7.81	0.004	0.8952532751679889
7.85	0.004	0.8912325467617183
7.87	0.004	0.8891099330392492
7.9	0.004	0.8860422540387477
7.93	0.004	0.8838732839761433
7.95	0.004	0.881847330617614
7.98	0.004	0.8786585490964495
8.0	0.004	0.8764298140280762
8.3	0.004	0.8424982136012462
8.48	0.004	0.8216208010562053
8.6	0.004	0.8045801117142835
8.7	0.004	0.7918212622063024
8.78	0.004	0.7801815093084469
8.85	0.004	0.7705961251498603
8.9	0.004	0.763381813015227
8.95	0.004	0.7556277198156016
9.0	0.004	0.7472952192709942
9.18	0.004	0.6927777188628195
9.3	0.004	0.6696520047131309
9.4	0.004	0.6517836011497918
9.48	0.004	0.636408870954655
9.54	0.004	0.6360743886766804
9.6	0.004	0.6257261787578933
9.65	0.004	0.6167012500884703
9.7	0.004	0.6080183553114714
9.74	0.004	0.6007804983670482
9.78	0.004	0.5932238063108176
9.81	0.004	0.587673389150658
9.85	0.004	0.5800821299783111
