log_age	Z	fraccion_M_star
5.00	0.004	0.9997978780038046
5.48	0.004	0.9995786713609972
5.70	0.004	0.99936715148895
5.85	0.004	0.9991670603491835
6.00	0.004	0.9988607583973937
6.10	0.004	0.9984892105543443
6.18	0.004	0.9982001852699707
6.24	0.004	0.9978777787552193
6.30	0.004	0.997292846124976
6.35	0.004	0.9967426914378208
6.40	0.004	0.9950681686403031
6.44	0.004	0.9918169923855114
6.48	0.004	0.9892711367268593
6.51	0.004	0.9858595476098783
6.54	0.004	0.9764916809104736
6.57	0.004	0.9663053885156235
6.60	0.004	0.9506483968594326
6.63	0.004	0.937891826933302
6.65	0.004	0.9316155253351283
6.68	0.004	0.921995187768303
6.70	0.004	0.9153363549711977
6.72	0.004	0.9088003950561937
6.74	0.004	0.8997688716528618
6.76	0.004	0.8929779288157923
6.78	0.004	0.8883782731772373
6.81	0.004	0.8767830815853346
6.85	0.004	0.8656759385668775
6.86	0.004	0.8641449746219937
6.88	0.004	0.8579956079443597
6.89	0.004	0.8549028088238038
6.90	0.004	0.8533517245829229
6.92	0.004	0.8471032224314905
6.93	0.004	0.843952274768852
6.94	0.004	0.8407799688773006
6.95	0.004	0.837585138819873
6.97	0.004	0.8311212410321609
6.98	0.004	0.8278477532159992
6.99	0.004	0.822882555685714
7.00	0.004	0.8195315268541843
7.04	0.004	0.8063285733251586
7.08	0.004	0.7966792182658764
7.11	0.004	0.7880067286592497
7.15	0.004	0.7764004253841486
7.18	0.004	0.7666425428115392
7.20	0.004	0.7615422861676231
7.23	0.004	0.753817227548346
7.26	0.004	0.7461751512146519
7.28	0.004	0.7404828018904881
7.30	0.004	0.7348137469863626
7.34	0.004	0.723766898290972
7.38	0.004	0.7148946521309465
7.41	0.004	0.7078710248982901
7.45	0.004	0.6977456757945701
7.48	0.004	0.6897829632787001
7.51	0.004	0.6811298663867116
7.53	0.004	0.675279227215724
7.56	0.004	0.6672608481081989
7.58	0.004	0.6627336927446965
7.60	0.004	0.658014337868314
7.62	0.004	0.653108367675513
7.64	0.004	0.6480156852137763
7.66	0.004	0.6429926778651742
7.68	0.004	0.6375368699561197
7.70	0.004	0.6321444110036789
7.74	0.004	0.6203226306862547
7.78	0.004	0.609978600944041
7.81	0.004	0.6024345758775095
7.85	0.004	0.5918436059082735
7.87	0.004	0.5863198926209661
7.90	0.004	0.5784142955469159
